,Symbol,Company Name,Market cap,Price,Chg % 1D,Chg 1D,Vol 1D,Volume * Price 1D,Employees,Sector
0,AAPL,Apple Inc,2351000.0,147.81,-0.34,-0.50,65.446,9674.0,164000.0,Electronic Technology
1,MSFT,Microsoft Corp.,1901000.0,255.02,0.13,0.33,21.528,5490.0,221000.0,Technology Services
2,GOOG,Alphabet Inc (Google) Class C,1303000.0,100.83,-0.44,-0.45,18.821,1898.0,156500.0,Technology Services
3,AMZN,"Amazon.com, Inc.",960282.0,94.13,-1.43,-1.37,72.496,6824.0,1608000.0,Retail Trade
4,BRK.A,Berkshire Hathaway Inc.,696418.0,477402.98,0.07,317.98,0.002794,1334.0,372000.0,Finance
5,TSLA,"Tesla, Inc.",615320.0,194.86,0.08,0.16,73.645,14350.0,99290.0,Consumer Durables
6,UNH,UnitedHealth Group Incorporated,500961.0,536.16,-0.14,-0.75,2.346,1258.0,350000.0,Health Services
7,JNJ,Johnson & Johnson,467679.0,178.88,0.08,0.14,5.824,1042.0,141700.0,Health Technology
8,XOM,Exxon Mobil Corporation,452436.0,109.86,-0.85,-0.94,15.248,1675.0,63000.0,Energy Minerals
9,V,Visa Inc.,448747.0,217.66,0.30,0.66,5.133,1117.0,26500.0,Commercial Services
10,WMT,Walmart Inc.,415876.0,153.22,-0.10,-0.15,6.911,1059.0,2300000.0,Retail Trade
11,NVDA,NVIDIA Corporation,415150.0,168.76,-1.51,-2.59,37.139,6268.0,22473.0,Electronic Technology
12,JPM,JP Morgan Chase & Co.,396452.0,135.16,-0.79,-1.08,8.932,1207.0,271025.0,Finance
13,PG,Procter & Gamble Company (The),356900.0,150.61,0.91,1.36,4.938,743.754,106000.0,Consumer Non-Durables
14,LLY,Eli Lilly and Company,356089.0,374.76,1.20,4.43,1.926,721.626,35000.0,Health Technology
15,CVX,Chevron Corporation,350047.0,181.03,-0.80,-1.46,6.852,1240.0,42595.0,Energy Minerals
16,MA,Mastercard Incorporated,346183.0,360.06,-0.21,-0.74,2.016,725.732,24000.0,Commercial Services
17,HD,"Home Depot, Inc. (The)",334283.0,327.99,0.28,0.92,3.644,1195.0,490600.0,Retail Trade
18,META,"Meta Platforms, Inc.",327455.0,123.49,2.53,3.05,39.95,4933.0,71970.0,Technology Services
19,BAC,Bank of America Corporation,289449.0,36.08,-1.29,-0.47,42.295,1526.0,208000.0,Finance
20,ABBV,AbbVie Inc.,289430.0,163.66,1.26,2.03,4.305,704.571,50000.0,Health Technology
21,PFE,"Pfizer, Inc.",285774.0,50.91,-0.33,-0.17,16.882,859.444,79000.0,Health Technology
22,MRK,"Merck & Company, Inc.",278995.0,110.04,0.22,0.24,6.944,764.071,68000.0,Health Technology
23,KO,Coca-Cola Company (The),278282.0,64.35,0.88,0.56,13.643,877.924,79000.0,Consumer Non-Durables
24,PEP,"PepsiCo, Inc.",255827.0,185.69,-0.11,-0.21,3.548,658.783,309000.0,Consumer Non-Durables
25,AVGO,Broadcom Inc.,225321.0,540.80,-1.81,-9.95,1.932,1045.0,20000.0,Electronic Technology
26,ORCL,Oracle Corporation,224725.0,83.35,-0.90,-0.76,4.799,399.991,143000.0,Technology Services
27,TMO,Thermo Fisher Scientific Inc,220806.0,563.00,-0.28,-1.56,1.014,571.137,130000.0,Health Technology
28,COST,Costco Wholesale Corporation,218881.0,494.53,-1.85,-9.33,3.632,1796.0,304000.0,Retail Trade
29,CSCO,"Cisco Systems, Inc.",204173.0,49.70,-0.54,-0.27,12.325,612.559,83300.0,Electronic Technology
30,MCD,McDonald's Corporation,200245.0,273.40,0.00,0.00,2.808,767.577,200000.0,Consumer Services
31,DHR,Danaher Corporation,199629.0,274.23,-0.11,-0.31,1.811,496.52,80000.0,Health Technology
32,ACN,Accenture plc,199521.0,300.13,-0.89,-2.70,1.745,523.594,721000.0,Technology Services
33,TMUS,"T-Mobile US, Inc.",189622.0,152.41,0.40,0.60,3.047,464.329,75000.0,Communications
34,ABT,Abbott Laboratories,188463.0,108.09,0.15,0.16,4.944,534.406,113000.0,Health Technology
35,DIS,Walt Disney Company (The),181320.0,99.43,0.85,0.84,12.608,1254.0,220000.0,Consumer Services
36,NKE,"Nike, Inc.",175558.0,112.20,0.98,1.09,5.892,661.079,79100.0,Consumer Non-Durables
37,WFC,Wells Fargo & Company,175054.0,45.94,-1.98,-0.93,29.82,1370.0,247848.0,Finance
38,BMY,Bristol-Myers Squibb Company,172495.0,81.13,0.31,0.25,6.367,516.53,32200.000000000004,Health Technology
39,NEE,"NextEra Energy, Inc.",169306.0,85.20,0.44,0.37,6.317,538.204,15000.0,Utilities
40,LIN,Linde plc,166779.0,337.35,0.03,0.09,1.201,405.074,72327.0,Process Industries
41,UPS,"United Parcel Service, Inc.",163788.0,189.39,-0.42,-0.80,3.662,693.491,534000.0,Transportation
42,PM,Philip Morris International Inc,161686.0,104.30,1.80,1.84,5.847,609.872,69600.0,Consumer Non-Durables
43,TXN,Texas Instruments Incorporated,161239.0,177.66,0.09,0.16,3.823,679.179,31000.0,Electronic Technology
44,VZ,Verizon Communications Inc.,160349.0,38.18,-0.39,-0.15,21.677,827.633,118400.0,Communications
45,ADBE,Adobe Inc.,158777.0,341.53,-0.75,-2.58,2.742,936.473,25988.0,Technology Services
46,MS,Morgan Stanley,155659.0,92.10,-0.97,-0.90,5.198,478.74,74814.0,Finance
47,CMCSA,Comcast Corporation,155037.0,35.86,-1.16,-0.42,25.809,925.513,189000.0,Consumer Services
48,SCHW,Charles Schwab Corporation (The),153931.0,82.46,0.89,0.73,4.227,348.562,33400.0,Finance
